date,start_et,away,away_pts,home,home_pts,ot,attendance,notes
10/27/19,7:00p,Portland Trail Blazers,121,Dallas Mavericks,119,,19707,
10/27/19,7:00p,Miami Heat,109,Minnesota Timberwolves,116,,17049,
10/27/19,9:30p,Charlotte Hornets,101,Los Angeles Lakers,120,,18997,
10/28/19,7:00p,Chicago Bulls,98,New York Knicks,105,,19812,
10/28/19,7:00p,Indiana Pacers,94,Detroit Pistons,96,,13565,
10/28/19,7:30p,Orlando Magic,95,Toronto Raptors,104,,19800,
10/28/19,7:30p,Philadelphia 76ers,105,Atlanta Hawks,103,,14094,
10/28/19,8:00p,Oklahoma City Thunder,112,Houston Rockets,116,,18055,
10/28/19,8:00p,Cleveland Cavaliers,112,Milwaukee Bucks,129,,17385,
10/28/19,8:00p,Golden State Warriors,134,New Orleans Pelicans,123,,17307,
10/28/19,8:30p,Portland Trail Blazers,110,San Antonio Spurs,113,,18083,
10/28/19,10:00p,Utah Jazz,96,Phoenix Suns,95,,14805,
10/28/19,10:00p,Denver Nuggets,101,Sacramento Kings,94,,15870,
10/28/19,10:30p,Charlotte Hornets,96,Los Angeles Clippers,111,,19068,
10/29/19,7:30p,Atlanta Hawks,97,Miami Heat,112,,19600,
10/29/19,9:00p,Dallas Mavericks,109,Denver Nuggets,106,,16605,
10/29/19,10:30p,Memphis Grizzlies,91,Los Angeles Lakers,120,,18997,
10/30/19,7:00p,Chicago Bulls,111,Cleveland Cavaliers,117,,17595,
10/30/19,7:00p,New York Knicks,83,Orlando Magic,95,,17456,
